City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Lujiang,CN,86.85,clear sky,31.2581,117.2817,GreenTree Inn Hefei Lujiang County Jinjie 1 Express Hotel
4,Hamilton,US,75.31,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
7,Yumen,CN,76.3,scattered clouds,40.2833,97.2,
10,Gizo,SB,84.52,clear sky,-8.103,156.8419,Imagination Island
12,Hithadhoo,MV,80.73,overcast clouds,-0.6,73.0833,Scoop Guest House
13,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
17,Porto Novo,BJ,75.02,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
22,Atuona,PF,77.05,few clouds,-9.8,-139.0333,Villa Enata
23,Montreal,CA,75.92,broken clouds,45.5088,-73.5878,Delta Hotels by Marriott Montreal
24,Kahului,US,87.82,few clouds,20.8947,-156.47,Maui Seaside Hotel
25,Salalah,OM,77.09,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
26,Itarema,BR,78.55,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
30,Lorengau,PG,85.41,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
34,Bubaque,GW,79.21,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
39,Mariel,CU,84.25,light rain,22.9875,-82.7536,Casa De Alojamiento Marilda
40,Half Moon Bay,US,80.53,scattered clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
41,Quang Ngai,VN,85.23,scattered clouds,15.1167,108.8,Central Hotel
44,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
46,Albany,US,75.85,overcast clouds,42.6001,-73.9662,
51,Rosetta,EG,78.46,clear sky,31.4044,30.4164,Green Valley
52,Avera,US,87.31,scattered clouds,33.194,-82.5271,
54,Hilo,US,86.29,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
58,Iranshahr,IR,88.14,clear sky,27.2025,60.6848,نیک سرشت
59,San Juan Del Sur,NI,79.97,overcast clouds,11.2529,-85.8705,Nuestra Casa
61,Galesong,ID,78.82,overcast clouds,-5.3166,119.3661,Sapriadi Appy
65,Saint George,US,89.64,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
66,Hami,CN,86.4,overcast clouds,42.8,93.45,Laoyutang Resort
70,Bethel,US,77.83,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
72,Bitung,ID,86.85,overcast clouds,1.4451,125.1824,K2 Lembeh
75,Praia,CV,77.54,broken clouds,14.9215,-23.5087,LT Aparthotel
76,Limon,CR,80.49,clear sky,10.0,-83.0333,Hotel Playa Bonita
81,Xunchang,CN,81.14,overcast clouds,28.4543,104.715,Jiabin Inn
82,Cortez,US,76.93,scattered clouds,37.3489,-108.5859,Sand Canyon National 9 Inn
83,Iztapa,GT,78.85,broken clouds,13.9333,-90.7075,Villas de Puerto Viejo
86,Kapaa,US,84.52,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
93,Sao Miguel Do Araguaia,BR,75.24,clear sky,-13.275,-50.1628,Hotel Executivo Palace
101,Guerrero Negro,MX,79.03,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
111,Mana,GF,77.95,overcast clouds,5.6592,-53.7767,LE SAMANA
