City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Lujiang,CN,31.2581,117.2817,86.85,71,0,1.5,clear sky
1,Oksfjord,NO,70.2396,22.3479,57.38,79,60,2.19,broken clouds
2,Launceston,AU,-41.45,147.1667,54.61,73,40,13.8,scattered clouds
3,Yellowknife,CA,62.456,-114.3525,68.52,40,40,9.22,scattered clouds
4,Hamilton,US,39.1834,-84.5333,75.31,82,0,6.91,clear sky
5,Punta Arenas,CL,-53.15,-70.9167,42.91,75,75,8.05,broken clouds
6,Roma,US,43.2128,-75.4557,72.88,88,100,2.8,overcast clouds
7,Yumen,CN,40.2833,97.2,76.3,32,31,14.03,scattered clouds
8,Ushuaia,AR,-54.8,-68.3,35.26,93,40,3.44,scattered clouds
9,Luanda,AO,-8.8368,13.2343,68.0,94,20,6.91,few clouds
10,Gizo,SB,-8.103,156.8419,84.52,68,4,3.67,clear sky
11,Cape Town,ZA,-33.9258,18.4232,55.38,76,0,8.01,clear sky
12,Hithadhoo,MV,-0.6,73.0833,80.73,74,100,16.35,overcast clouds
13,Avarua,CK,-21.2078,-159.775,77.05,73,20,14.97,few clouds
14,Rikitea,PF,-23.1203,-134.9692,72.46,73,100,23.82,light rain
15,San Carlos De Bariloche,AR,-41.1456,-71.3082,36.25,75,75,5.75,broken clouds
16,Barrow,US,71.2906,-156.7887,35.62,87,75,9.22,broken clouds
17,Porto Novo,BJ,6.4965,2.6036,75.02,81,100,12.46,overcast clouds
18,Pangnirtung,CA,66.1451,-65.7125,48.27,82,100,1.39,overcast clouds
19,Castro,BR,-24.7911,-50.0119,52.38,78,0,2.42,clear sky
20,Bluff,NZ,-46.6,168.3333,50.81,76,100,17.27,overcast clouds
21,East London,ZA,-33.0153,27.9116,53.85,63,0,7.34,clear sky
22,Atuona,PF,-9.8,-139.0333,77.05,73,14,12.68,few clouds
23,Montreal,CA,45.5088,-73.5878,75.92,64,75,10.36,broken clouds
24,Kahului,US,20.8947,-156.47,87.82,56,20,19.57,few clouds
25,Salalah,OM,17.0151,54.0924,77.09,88,75,8.05,broken clouds
26,Itarema,BR,-2.9248,-39.9167,78.55,83,2,13.94,clear sky
27,Jamestown,US,42.097,-79.2353,74.84,73,20,4.61,few clouds
28,Tim,RU,51.6222,37.1244,57.76,64,99,8.08,overcast clouds
29,Blagoyevo,RU,63.3667,47.9167,57.92,99,75,3.67,broken clouds
30,Lorengau,PG,-2.0226,147.2712,85.41,68,99,11.79,overcast clouds
31,Bredasdorp,ZA,-34.5322,20.0403,41.77,83,0,3.56,clear sky
32,Mar Del Plata,AR,-38.0023,-57.5575,55.09,86,0,4.61,clear sky
33,Zhezkazgan,KZ,47.8043,67.7144,60.78,59,0,6.71,clear sky
34,Bubaque,GW,11.2833,-15.8333,79.21,78,100,15.9,overcast clouds
35,Mount Gambier,AU,-37.8333,140.7667,53.49,79,5,13.65,clear sky
36,Airai,TL,-8.9266,125.4092,69.22,63,60,2.84,broken clouds
37,Moindou,NC,-21.6924,165.677,73.67,67,52,7.52,broken clouds
38,Thompson,CA,55.7435,-97.8558,57.36,94,75,3.44,broken clouds
39,Mariel,CU,22.9875,-82.7536,84.25,86,15,12.95,light rain
40,Half Moon Bay,US,37.4636,-122.4286,80.53,77,40,18.41,scattered clouds
41,Quang Ngai,VN,15.1167,108.8,85.23,63,44,4.32,scattered clouds
42,Port Alfred,ZA,-33.5906,26.891,52.2,73,0,9.66,clear sky
