City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Novoagansk,RU,2022-07-27 05:08:55,61.9449,76.6625,69.13,57,3,11.88
1,Atuona,PF,2022-07-27 05:06:52,-9.8,-139.0333,77.56,74,12,17.67
2,Langsa,ID,2022-07-27 05:08:56,4.4683,97.9683,90.36,56,100,2.21
3,Chapais,CA,2022-07-27 05:08:57,49.7834,-74.8492,46.81,96,32,3.94
4,Busselton,AU,2022-07-27 05:05:43,-33.65,115.3333,60.85,64,97,4.03
5,Poum,NC,2022-07-27 05:04:18,-20.2333,164.0167,74.64,72,0,5.66
6,Bukachacha,RU,2022-07-27 05:08:58,52.9833,116.9167,73.74,57,35,16.84
7,Hobart,AU,2022-07-27 05:00:23,-42.8794,147.3294,57.06,68,40,10.36
8,Ushuaia,AR,2022-07-27 05:00:20,-54.8,-68.3,27.27,90,87,6.15
9,Anshun,CN,2022-07-27 05:08:59,26.25,105.9333,79.66,71,36,13.27
10,Saldanha,ZA,2022-07-27 05:09:00,-33.0117,17.9442,51.17,88,0,7.29
11,Denpasar,ID,2022-07-27 05:08:56,-8.65,115.2167,83.86,74,40,16.11
12,Opuwo,NA,2022-07-27 05:08:01,-18.0607,13.84,56.5,32,27,4.18
13,Oktyabrskiy,RU,2022-07-27 05:09:02,54.4815,53.471,69.49,80,69,7.78
14,Praia,CV,2022-07-27 05:06:50,14.9215,-23.5087,78.51,82,86,4.34
15,Kodiak,US,2022-07-27 05:04:05,57.79,-152.4072,51.31,76,0,3.44
16,Rikitea,PF,2022-07-27 05:04:09,-23.1203,-134.9692,74.88,70,74,2.91
17,Mar Del Plata,AR,2022-07-27 05:05:21,-38.0023,-57.5575,53.1,98,100,6.91
18,Carnarvon,AU,2022-07-27 05:05:25,-24.8667,113.6333,72.82,31,88,1.5
19,Bluff,NZ,2022-07-27 05:04:10,-46.6,168.3333,47.8,89,100,18.43
20,Kampot,KH,2022-07-27 05:09:05,10.6167,104.1833,87.85,74,100,6.89
21,Thompson,CA,2022-07-27 05:03:55,55.7435,-97.8558,50.02,98,76,4.85
22,Abengourou,CI,2022-07-27 05:09:06,6.7297,-3.4964,70.54,99,100,3.62
23,Port Alfred,ZA,2022-07-27 05:04:15,-33.5906,26.891,58.17,84,56,5.99
24,Castro,BR,2022-07-27 05:04:20,-24.7911,-50.0119,52.7,89,1,3.6
25,Tiksi,RU,2022-07-27 05:07:11,71.6872,128.8694,56.21,71,80,4.47
26,Dikson,RU,2022-07-27 05:03:57,73.5069,80.5464,41.47,99,100,20.67
27,Cherskiy,RU,2022-07-27 05:04:11,68.75,161.3,53.37,46,23,15.41
28,Omboue,GA,2022-07-27 05:09:09,-1.5746,9.2618,70.36,90,72,4.99
29,Kavieng,PG,2022-07-27 05:05:28,-2.5744,150.7967,84.99,64,66,12.97
30,Kota Belud,MY,2022-07-27 05:09:10,6.351,116.4305,83.88,77,66,5.26
31,Lethem,GY,2022-07-27 05:09:10,3.3803,-59.7968,74.44,91,100,3.6
32,Bredasdorp,ZA,2022-07-27 05:04:07,-34.5322,20.0403,48.36,92,13,4.74
33,Ishigaki,JP,2022-07-27 05:09:11,24.3448,124.1572,85.51,75,13,13.89
34,Torbay,CA,2022-07-27 05:07:11,47.6666,-52.7314,67.39,86,94,1.99
35,Mataura,NZ,2022-07-27 05:03:57,-46.1927,168.8643,47.48,95,100,3.83
36,Victoria,HK,2022-07-27 05:07:27,22.2855,114.1577,94.24,60,14,8.01
37,Arraial Do Cabo,BR,2022-07-27 05:04:53,-22.9661,-42.0278,69.67,85,0,15.55
38,Fortuna,US,2022-07-27 05:09:13,40.5982,-124.1573,57.34,89,32,1.66
39,Ponta Do Sol,PT,2022-07-27 05:06:55,32.6667,-17.1,72.23,72,0,5.41
40,Port Macquarie,AU,2022-07-27 05:09:15,-31.4333,152.9167,64.89,42,0,17.27
41,Hilo,US,2022-07-27 05:05:24,19.7297,-155.09,84.27,83,100,0.0
42,Bafoulabe,ML,2022-07-27 05:10:16,13.8065,-10.8321,76.26,91,100,5.01
43,Angoche,MZ,2022-07-27 05:10:17,-16.2325,39.9086,72.63,65,92,10.85
44,Muroto,JP,2022-07-27 05:10:18,33.2833,134.15,82.78,79,80,7.56
45,Panguipulli,CL,2022-07-27 05:10:18,-39.6333,-72.3333,43.77,96,77,3.13
46,Albany,US,2022-07-27 05:00:18,42.6001,-73.9662,61.79,85,1,3.62
47,Nanortalik,GL,2022-07-27 05:10:19,60.1432,-45.2371,42.6,93,64,3.65
48,Yulara,AU,2022-07-27 05:10:20,-25.2406,130.9889,64.96,20,0,11.86
49,Punta Arenas,CL,2022-07-27 05:00:43,-53.15,-70.9167,30.11,86,93,7.18
50,Staryy Oskol,RU,2022-07-27 05:05:57,51.2967,37.8417,70.34,76,4,2.75
51,Boynton Beach,US,2022-07-27 05:10:21,26.5254,-80.0664,84.18,86,77,8.01
52,Port Elizabeth,ZA,2022-07-27 05:08:26,-33.918,25.5701,59.31,84,41,11.01
53,Cape Town,ZA,2022-07-27 05:04:46,-33.9258,18.4232,59.38,85,0,7.0
54,Ribeira Grande,PT,2022-07-27 05:04:17,38.5167,-28.7,73.72,82,30,9.4
55,Chulym,RU,2022-07-27 05:10:23,55.0997,80.9572,81.09,41,22,4.76
56,Vestmanna,FO,2022-07-27 05:10:23,62.1564,-7.1664,49.12,100,100,9.22
57,Qaanaaq,GL,2022-07-27 05:07:08,77.484,-69.3632,37.6,71,56,1.34
58,Chuy,UY,2022-07-27 05:05:26,-33.6971,-53.4616,57.52,97,23,3.47
59,Mount Gambier,AU,2022-07-27 05:10:25,-37.8333,140.7667,57.49,71,100,12.33
60,Provideniya,RU,2022-07-27 05:07:01,64.3833,-173.3,48.36,71,0,13.42
61,Les Cayes,HT,2022-07-27 05:10:26,18.2,-73.75,78.24,81,42,2.17
62,Esil,KZ,2022-07-27 05:10:26,51.9556,66.4042,79.2,37,60,9.6
63,Huaicheng,CN,2022-07-27 05:10:27,23.9051,112.1931,99.37,41,36,3.0
64,Ypsonas,CY,2022-07-27 05:10:27,34.6884,32.9574,87.28,58,0,6.91
65,Codrington,AU,2022-07-27 05:08:12,-38.2667,141.9667,56.08,80,100,15.26
66,Deputatskiy,RU,2022-07-27 05:06:49,69.3,139.9,63.25,46,82,11.86
67,Surgut,RU,2022-07-27 05:10:29,61.25,73.4167,66.09,55,0,15.99
68,Laguna,US,2022-07-27 05:08:18,38.421,-121.4238,79.45,59,0,5.75
69,Cabo San Lucas,MX,2022-07-27 05:00:12,22.8909,-109.9124,86.61,65,33,12.84
70,Paita,PE,2022-07-27 05:10:30,-5.0892,-81.1144,63.63,85,100,13.51
71,Klaksvik,FO,2022-07-27 05:05:38,62.2266,-6.589,50.92,94,100,9.06
72,Pevek,RU,2022-07-27 05:04:19,69.7008,170.3133,35.98,83,100,11.36
73,Kungurtug,RU,2022-07-27 05:10:32,50.5994,97.5228,66.18,33,92,3.4
74,Jamestown,US,2022-07-27 05:05:54,42.097,-79.2353,65.84,68,0,1.01
75,Bengkulu,ID,2022-07-27 05:10:33,-3.8004,102.2655,84.18,65,56,4.88
76,Hambantota,LK,2022-07-27 05:04:00,6.1241,81.1185,82.74,89,20,1.14
77,Butaritari,KI,2022-07-27 05:04:13,3.0707,172.7902,82.11,75,8,19.75
78,Puerto Ayora,EC,2022-07-27 05:02:06,-0.7393,-90.3518,69.55,92,99,1.99
79,San Carlos De Bariloche,AR,2022-07-27 05:08:48,-41.1456,-71.3082,33.24,93,40,2.3
80,Dixon,US,2022-07-27 05:10:36,38.4455,-121.8233,73.98,59,0,11.86
81,Faanui,PF,2022-07-27 05:04:19,-16.4833,-151.75,78.58,72,22,7.54
82,Xai-Xai,MZ,2022-07-27 05:10:37,-25.0519,33.6442,57.34,82,0,5.99
83,Mitsamiouli,KM,2022-07-27 05:10:37,-11.3847,43.2844,76.05,69,2,6.93
84,Tlapacoyan,MX,2022-07-27 05:10:38,19.9667,-97.2167,71.87,94,92,3.42
85,Billings,US,2022-07-27 05:08:27,45.7833,-108.5007,74.97,58,20,5.75
86,Lavrentiya,RU,2022-07-27 05:10:39,65.5833,-171.0,44.78,72,65,8.93
87,Marsa Matruh,EG,2022-07-27 05:04:10,31.3525,27.2453,79.34,72,0,10.27
88,Chimoio,MZ,2022-07-27 05:11:40,-19.1164,33.4833,54.18,82,0,1.14
